id,Univ (i),Univ(j),Papers,Distance (ij),No Projects,Contribution Horizon,Web Of Science Name,Country,City,Nuts CODE,geolocation,No of WoS Papers (total),No of WoS Papers (2014-2020),No of WoS Papers (2021-2024),"Language (slav -1, other - 0)",Number of students enrolled in a year,Erasmus outgoing mobilities,Erasmus incoming mobilities,Erasmus total mobilities,"Position in International rankings (high 1, low 0)"
44,UNIVERSITY OF CYPRUS,Medical University of Bialystok,5,"3584,9",1,3139200,Medical University of Bialystok,PL,Bialystok,PL841,"53.132437,23.1659857",11174,4271,2933,1,5494,323,77,400,0
45,UNIVERSITY OF CYPRUS,Babes Bolyai University from Cluj,116,"2277,9",16,"3429908,06",Babes Bolyai University from Cluj,RO,Cluj Napoca,RO113,"46.7693367,23.5900604",27843,10308,5644,0,48620,5149,3819,8968,N/A
46,UNIVERSITY OF CYPRUS,Nicolaus Copernicus University,17,"3442,8",14,"2737620,35",Nicolaus Copernicus University,PL,Torun,PL613,"53.0185,18.5708014",27894,9038,6324,1,24016,2379,2296,4675,0
47,UNIVERSITY OF CYPRUS,Lodz University of Technology,0,"3280,4",13,"2612464,44",Lodz University of Technology,PL,Lodz,PL711,"51.7687323,19.4569911",24168,7354,3874,1,12642,2657,2526,5183,0
48,UNIVERSITY OF CYPRUS,TECHNICAL UNIVERSITY OF SOFIA,0,"1740,2",16,"3323848,36",Technical University Sofia,BG,Sofia,BG411,"42.6977211,23.3225964",6168,2331,1099,1,9202,1788,705,2493,N/A
49,UNIVERSITY OF CYPRUS,Poznan University of Medical Sciences,2,"3422,5",7,"2323038,57",Poznan University of Medical Sciences,PL,Poznan,PL415,"52.4094741,16.918422",19090,7260,5835,1,8000,528,425,953,0
50,UNIVERSITY OF CYPRUS,University of Zagreb,62,"2425,3",57,"13961302,95",University of Zagreb ,HR,Zagreb,HR050,"45.7982002,15.9703608",3515,1311,883,1,72480,,,,N/A
51,UNIVERSITY OF CYPRUS,University of Warmia & Mazury,2,"3545,6",11,"2215533,75",University of Warmia & Mazury,PL,OLSZTYN,PL622,"53.7766839,20.476507",21426,7088,4680,1,38350,4241,5123,9364,0
52,UNIVERSITY OF CYPRUS,University of Lodz,4,3281,17,"2169549,13",University of Łódź,PL,LODZ,PL711,"51.8575538,19.4145321",10129,4147,2720,1,25000,804,1038,1842,0
53,UNIVERSITY OF CYPRUS,Wroclaw University of Environmental & Life Sciences,0,"3238,2",8,"2037715,48",Wroclaw University of Environmental & Life Sciences,PL,Wroclaw,PL514,"51.111086,17.0637697",25895,11422,7570,1,8000,1230,627,1857,0
54,UNIVERSITY OF CYPRUS,Medical University of Warsaw,33,3371,4,"1912047,45",Medical University of Warsaw,PL,Warszawa,PL911,"52.2337172,21.0714156104111",11524,5678,3695,1,9764,1323,551,1874,0
55,UNIVERSITY OF CYPRUS,Iuliu Hatieganu University of Medicine & Pharmacy,13,"2276,6",13,"2973457,64",Iuliu Hatieganu University of Medicine & Pharmacy,RO,Cluj-Napoca,RO113,"46.7693367,23.5900604",11524,5678,3695,0,7153,1323,551,1874,0
56,UNIVERSITY OF CYPRUS,Transylvania University of Brasov,20,"2015,9",7,"1577328,75",Transylvania University of Brasov,RO,Brasov,RO122,"45.6453253,25.5887936",10697,4420,3058,0,20885,2031,1623,3654,0
57,UNIVERSITY OF CYPRUS,Alexandru Ioan Cuza University,16,"2192,2",9,"1177769,69",Alexandru Ioan Cuza University,RO,Iasi,RO213,"47.1748687,27.5712428965192",16618,3015,3015,0,40000,5150,1985,7135,0
58,UNIVERSITY OF CYPRUS,West University of Timisoara,15,"2252,8",9,"1120190,63",West University of Timisoara,RO,Timisoara,RO424,"45.7476982,21.2283814",7740,3244,1698,0,13805,2344,1630,3974,0
59,UNIVERSITY OF CYPRUS,"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",4,"2186,8",2,"1030937,5","George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",RO,Targu Mures,RO125,"46.5549736,24.581610724795418",5919,3143,1309,0,11000,3803,382,4185,0
60,UNIVERSITY OF CYPRUS,University of Craiova,0,"1981,6",13,"966062,58",University of Craiova,RO,Craiova,RO411,"44.3190159,23.7965614",8205,3246,1653,0,23000,1664,525,2189,0
61,UNIVERSITY OF CYPRUS,University of Split,1628,"2940,1",17,"3030046,45",University of Split,HR,Split,HR035,"43.507775,16.4690500081942",15904,6252,4056,1,26000,2093,1415,3508,N/A
62,UNIVERSITY OF CYPRUS,UNIVERSITY OF RIJEKA,0,"2695,1",12,"1908024,95",University of Rijeka,HR,Rijeka,HR031,"45.28335145,14.537789935157118",14744,5403,3574,1,3000,1562,2058,3620,N/A
63,UNIVERSITY OF CYPRUS,Technical University Kosice,0,"2767,8",13,"2964780,5",Technical University Kosice,SK,Kosice,SK042,"48.7250478,20.4102986",13801,6791,2888,1,9999,1480,957,2437,0
64,UNIVERSITY OF CYPRUS,University of Pavol Jozef Safarik Kosice,10,"2766,7",4,"1838822,09",University of Pavol Jozef Safarik Kosice,SK,Kosice,SK042,"48.7200293,21.2573061",12454,4274,2361,1,7000,2183,1083,3266,0
1,University of Tartu,UNIVERSITY OF CYPRUS,53,"4298,8",123,"58094901,65",UNIVERSITY OF CYPRUS,CY,Nicosia,CY000,"35.1739302,33.364726",16954,6697,4392,0,6875,1931,1902,3833,1
2,University of Tartu,University of Ljubljana,179,"1969,3",163,"48273117,5",University of Ljubljana,SI,Ljubljana,SI041,"46.048973,14.5039794308021",70248,22010,14037,1,37615,10707,11649,22356,0
3,University of Tartu,Masaryk University Brno,151,"1466,4",89,"42184054,1",Masaryk University Brno,CZ,Brno,CZ064,"49.1992954,16.5972215",44285,17393,10062,1,32271,8732,5926,14658,N/A
4,University of Tartu,Charles University Prague,334,"1538,6",88,"33702351,18",Charles University Prague,CZ,Praha 1,CZ010,"50.08647615,14.4246222336325",121755,40566,23309,1,49787,7433,8648,16081,N/A
5,University of Tartu,Czech Technical University Prague,16,"1543,3",81,"32924004,68",Czech Technical University Prague,CZ,Praha,CZ010,"50.102175,14.3884697",36536,15092,6821,1,16217,2155,4021,6176,1
6,University of Tartu,Tallinn University of Technology,1153,"184,6",69,"30065589,57",Tallinn University of Technology,EE,Tallinn,EE001,"59.3948992,24.6717935",15190,6001,3388,1,8739,1920,2980,4900,0
7,University of Tartu,University of Warsaw,95,"908,8",96,"28918622,74",University of Warsaw,PL,WARSZAWA,PL911,"52.23961125,21.0173473017396",62301,19132,11114,1,42700,9547,6464,16011,1
8,University of Tartu,Brno University of Technology,8,"1468,9",60,"27386453,32",Brno University of Technology,CZ,Brno Stred,CZ064,"49.1992954,16.5972215",24584,10565,4981,1,17975,4786,3799,8585,0
9,University of Tartu,National University of Science & Technology POLITEHNICA Bucharest,4,"2325,9",47,"21262969,32",National University of Science & Technology POLITEHNICA Bucharest,RO,Bucharest,RO321,"44.4420231,26.0522546",38862,16158,5465,0,25469,1721,1644,3365,0
10,University of Tartu,Central European University,5,"1786,7",46,"20575367,03",Central European University,HU,Budapest,HU110,"47.546344,18.9501556",5031,2653,515,0,1479,409,469,878,N/A
11,University of Tartu,Budapest University of Technology & Economics,11,1784,62,"19329058,92",Budapest University of Technology & Economics,HU,Budapest,HU110,"47.4813705,19.0556393",33370,9633,5349,0,20152,2801,3879,6680,0
