,Univ (i),Univ(j),Papers,Distance (ij),No Projects,Contribution Horizon,Web Of Science Name,Country,City,Nuts CODE,geolocation,No of WoS Papers (total),No of WoS Papers (2014-2020),No of WoS Papers (2021-2024),"Language (slav -1, other - 0)",Number of students enrolled in a year,Erasmus outgoing mobilities,Erasmus incoming mobilities,Erasmus total mobilities,"Position in International rankings (high 1, low 0)",avg contrib per project,contrib horizon % of total,,var1,var2,var3,var4,var5,var6,var7,var8,var9
56,UNIVERSITY OF CYPRUS,Transylvania University of Brasov,20,"2015,9",7,1577328.75,Transylvania University of Brasov,RO,Brasov,RO122,"45.6453253,25.5887936",10697,4420,3058,0,20885,2031,1623,3654,0,225332.6786,0.233704175,,0.51,0.01,2.93,0.21,0.00,1.21,0.15,0.00,0.84
57,UNIVERSITY OF CYPRUS,Alexandru Ioan Cuza University,16,"2192,2",9,1177769.69,Alexandru Ioan Cuza University,RO,Iasi,RO213,"47.1748687,27.5712428965192",16618,3015,3015,0,40000,5150,1985,7135,0,130863.2989,0.174503694,,0.42,0.01,2.33,0.08,0.00,0.42,0.08,0.00,0.42
58,UNIVERSITY OF CYPRUS,West University of Timisoara,15,"2252,8",9,1120190.63,West University of Timisoara,RO,Timisoara,RO424,"45.7476982,21.2283814",7740,3244,1698,0,13805,2344,1630,3974,0,124465.6256,0.16597252,,0.56,0.01,1.95,0.23,0.00,0.82,0.12,0.00,0.43
59,UNIVERSITY OF CYPRUS,"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",4,"2186,8",2,1030937.50,"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",RO,Targu Mures,RO125,"46.5549736,24.581610724795418",5919,3143,1309,0,11000,3803,382,4185,0,515468.75,0.152748372,,0.54,0.01,1.41,0.29,0.00,0.75,0.12,0.00,0.31
60,UNIVERSITY OF CYPRUS,University of Craiova,0,"1981,6",13,966062.58,University of Craiova,RO,Craiova,RO411,"44.3190159,23.7965614",8205,3246,1653,0,23000,1664,525,2189,0,74312.50615,0.14313621,,0.36,0.01,3.75,0.14,0.00,1.48,0.07,0.00,0.76
61,UNIVERSITY OF CYPRUS,University of Split,1628,"2940,1",17,3030046.45,University of Split,HR,Split,HR035,"43.507775,16.4690500081942",15904,6252,4056,1,26000,2093,1415,3508,N/A,178238.0265,0.448945413,,0.61,0.01,4.53,0.24,0.00,1.78,0.16,0.00,1.16
62,UNIVERSITY OF CYPRUS,UNIVERSITY OF RIJEKA,0,"2695,1",12,1908024.95,University of Rijeka,HR,Rijeka,HR031,"45.28335145,14.537789935157118",14744,5403,3574,1,3000,1562,2058,3620,N/A,159002.0792,0.282701623,,4.91,0.01,4.07,1.80,0.00,1.49,1.19,0.00,0.99
63,UNIVERSITY OF CYPRUS,Technical University Kosice,0,"2767,8",13,2964780.50,Technical University Kosice,SK,Kosice,SK042,"48.7250478,20.4102986",13801,6791,2888,1,9999,1480,957,2437,0,228060.0385,0.439275314,,1.38,0.00,5.66,0.68,0.00,2.79,0.29,0.00,1.19
64,UNIVERSITY OF CYPRUS,University of Pavol Jozef Safarik Kosice,10,"2766,7",4,1838822.09,University of Pavol Jozef Safarik Kosice,SK,Kosice,SK042,"48.7200293,21.2573061",12454,4274,2361,1,7000,2183,1083,3266,0,459705.5225,0.272448214,,1.78,0.01,3.81,0.61,0.00,1.31,0.34,0.00,0.72
1,University of Tartu,UNIVERSITY OF CYPRUS,53,"4298,8",123,58094901.65,UNIVERSITY OF CYPRUS,CY,Nicosia,CY000,"35.1739302,33.364726",16954,6697,4392,0,6875,1931,1902,3833,1,472316.2736,,,,,,,,,,,
2,University of Tartu,University of Ljubljana,179,"1969,3",163,48273117.5,University of Ljubljana,SI,Ljubljana,SI041,"46.048973,14.5039794308021",70248,22010,14037,1,37615,10707,11649,22356,0,296154.0951,7.152363845,,,,,,,,,,
3,University of Tartu,Masaryk University Brno,151,"1466,4",89,42184054.1,Masaryk University Brno,CZ,Brno,CZ064,"49.1992954,16.5972215",44285,17393,10062,1,32271,8732,5926,14658,N/A,473978.136,6.211790854,,,,,,,,,,
4,University of Tartu,Charles University Prague,334,"1538,6",88,33702351.18,Charles University Prague,CZ,Praha 1,CZ010,"50.08647615,14.4246222336325",121755,40566,23309,1,49787,7433,8648,16081,N/A,382981.2634,4.962822121,,,,,,,,,,
5,University of Tartu,Czech Technical University Prague,16,"1543,3",81,32924004.68,Czech Technical University Prague,CZ,Praha,CZ010,"50.102175,14.3884697",36536,15092,6821,1,16217,2155,4021,6176,1,406469.1936,4.848207113,,,,,,,,,,
6,University of Tartu,Tallinn University of Technology,1153,"184,6",69,30065589.57,Tallinn University of Technology,EE,Tallinn,EE001,"59.3948992,24.6717935",15190,6001,3388,1,8739,1920,2980,4900,0,435733.1822,4.427292689,,,,,,,,,,
7,University of Tartu,University of Warsaw,95,"908,8",96,28918622.74,University of Warsaw,PL,WARSZAWA,PL911,"52.23961125,21.0173473017396",62301,19132,11114,1,42700,9547,6464,16011,1,301235.6535,4.258396688,,,,,,,,,,
8,University of Tartu,Brno University of Technology,8,"1468,9",60,27386453.32,Brno University of Technology,CZ,Brno Stred,CZ064,"49.1992954,16.5972215",24584,10565,4981,1,17975,4786,3799,8585,0,456440.8887,4.03277788,,,,,,,,,,
9,University of Tartu,National University of Science & Technology POLITEHNICA Bucharest,4,"2325,9",47,21262969.32,National University of Science & Technology POLITEHNICA Bucharest,RO,Bucharest,RO321,"44.4420231,26.0522546",38862,16158,5465,0,25469,1721,1644,3365,0,452403.6026,3.131067442,,,,,,,,,,
10,University of Tartu,Central European University,5,"1786,7",46,20575367.03,Central European University,HU,Budapest,HU110,"47.546344,18.9501556",5031,2653,515,0,1479,409,469,878,N/A,447290.5876,3.029814926,,,,,,,,,,
11,University of Tartu,Budapest University of Technology & Economics,11,1784,62,19329058.92,Budapest University of Technology & Economics,HU,Budapest,HU110,"47.4813705,19.0556393",33370,9633,5349,0,20152,2801,3879,6680,0,311759.0148,2.846290476,,,,,,,,,,
12,University of Tartu,Cyprus University of Technology,16,"4370,8",54,19267425.71,Cyprus University of Technology,CY,Lemesos,CY000,"34.79489125,32.985589384508",5349,1745,1745,0,3280,639,572,1211,0,356804.1798,2.83721471,,,,,,,,,,
13,University of Tartu,Sofia University,0,4267,34,19079908.91,Sofia University,BG,Sofia,BG411,"42.6978634,23.3221789",35,24,6,1,22490,1321,718,2039,0,561173.7915,2.809602021,,,,,,,,,,
14,University of Tartu,AGH University of Krakow,9,"1206,4",54,16553204.24,AGH University of Krakow,PL,Krakow,PL213,"50.0600082,19.924412",41427,16361,8756,1,20240,1950,2886,4836,0,306540.8193,2.437533445,,,,,,,,,,
15,University of Tartu,University of Latvia,693,"244,8",41,9299962.74,University of Latvia,LV,RIGA,LV006,"56.9493977,24.1051846",19782,7466,3496,1,15250,1824,3211,5035,0,226828.3595,1.369461156,,,,,,,,,,
16,University of Tartu,Warsaw University of Technology,14,"911,9",52,13923689.97,Warsaw University of Technology,PL,WARSZAWA,PL911,"52.22165395,21.0073577612511",43300,15433,7129,1,25021,2216,2715,4931,0,267763.2687,2.050325694,,,,,,,,,,
17,University of Tartu,Alexander Dubcek University Trencin,1,"1459,5",2,12689962.5,Alexander Dubcek University Trencin,SK,Trencin,SK022,"48.8986312,18.0474701",1813,824,486,1,2999,525,323,848,N/A,6344981.25,1.8686538,,,,,,,,,,
18,University of Tartu,Jagiellonian University,162,"1207,2",52,11901816.01,Jagiellonian University,PL,Krakow,PL213,"50.0609779,19.9328423",77297,25822,15766,1,33549,6043,6706,12749,1,228881.0771,1.7525957,,,,,,,,,,
