,Univ (i),Univ(j),Papers,Distance (ij),No Projects,Contribution Horizon,Web Of Science Name,Country,City,Nuts CODE,geolocation,No of WoS Papers (total),No of WoS Papers (2014-2020),No of WoS Papers (2021-2024),"Language (slav -1, other - 0)",Number of students enrolled in a year,Erasmus outgoing mobilities,Erasmus incoming mobilities,Erasmus total mobilities,"Position in International rankings (high 1, low 0)",avg contrib per project,contrib horizon % of total,,var1,var2,var3,var4,var5,var6,var7,var8,var9
6,Wroclaw University of Science & Technology,Czech Technical University Prague,25,"293,6",81,32924004.68,Czech Technical University Prague,CZ,Praha,CZ010,"50.102175,14.3884697",36536,15092,6821,1,16217,2155,4021,6176,1,406469.1936,4.553959685,,,,,,,,,,
7,Wroclaw University of Science & Technology,Tallinn University of Technology,2,"1308,7",69,30065589.57,Tallinn University of Technology,EE,Tallinn,EE001,"59.3948992,24.6717935",15190,6001,3388,1,8739,1920,2980,4900,0,435733.1822,4.158591403,,,,,,,,,,
8,Wroclaw University of Science & Technology,University of Warsaw,272,"351,7",96,28918622.74,University of Warsaw,PL,WARSZAWA,PL911,"52.23961125,21.0173473017396",62301,19132,11114,1,42700,9547,6464,16011,1,301235.6535,3.999946039,,,,,,,,,,
9,Wroclaw University of Science & Technology,Brno University of Technology,37,"409,4",60,27386453.32,Brno University of Technology,CZ,Brno Stred,CZ064,"49.1992954,16.5972215",24584,10565,4981,1,17975,4786,3799,8585,0,456440.8887,3.78802049,,,,,,,,,,
10,Wroclaw University of Science & Technology,National University of Science & Technology POLITEHNICA Bucharest,38,"1550,1",47,21262969.32,National University of Science & Technology POLITEHNICA Bucharest,RO,Bucharest,RO321,"44.4420231,26.0522546",38862,16158,5465,0,25469,1721,1644,3365,0,452403.6026,2.941036669,,,,,,,,,,
11,Wroclaw University of Science & Technology,Central European University,0,"727,1",46,20575367.03,Central European University,HU,Budapest,HU110,"47.546344,18.9501556",5031,2653,515,0,1479,409,469,878,N/A,447290.5876,2.845929372,,,,,,,,,,
12,Wroclaw University of Science & Technology,Budapest University of Technology & Economics,23,"724,6",62,19329058.92,Budapest University of Technology & Economics,HU,Budapest,HU110,"47.4813705,19.0556393",33370,9633,5349,0,20152,2801,3879,6680,0,311759.0148,2.67354339,,,,,,,,,,
13,Wroclaw University of Science & Technology,Cyprus University of Technology,3,"3315,8",54,19267425.71,Cyprus University of Technology,CY,Lemesos,CY000,"34.79489125,32.985589384508",5349,1745,1745,0,3280,639,572,1211,0,356804.1798,2.66501845,,,,,,,,,,
14,Wroclaw University of Science & Technology,Sofia University,1,"1489,2",34,19079908.91,Sofia University,BG,Sofia,BG411,"42.6978634,23.3221789",35,24,6,1,22490,1321,718,2039,0,561173.7915,2.639081631,,,,,,,,,,
15,Wroclaw University of Science & Technology,AGH University of Krakow,313,"270,4",54,16553204.24,AGH University of Krakow,PL,Krakow,PL213,"50.0600082,19.924412",41427,16361,8756,1,20240,1950,2886,4836,0,306540.8193,2.289594644,,,,,,,,,,
16,Wroclaw University of Science & Technology,University of Latvia,7,"1010,5",41,9299962.74,University of Latvia,LV,RIGA,LV006,"56.9493977,24.1051846",19782,7466,3496,1,15250,1824,3211,5035,0,226828.3595,1.286345808,,,,,,,,,,
17,Wroclaw University of Science & Technology,Warsaw University of Technology,309,350,52,13923689.97,Warsaw University of Technology,PL,WARSZAWA,PL911,"52.22165395,21.0073577612511",43300,15433,7129,1,25021,2216,2715,4931,0,267763.2687,1.925887309,,,,,,,,,,
18,Wroclaw University of Science & Technology,Alexander Dubcek University Trencin,0,"399,8",2,12689962.5,Alexander Dubcek University Trencin,SK,Trencin,SK022,"48.8986312,18.0474701",1813,824,486,1,2999,525,323,848,N/A,6344981.25,1.755241447,,,,,,,,,,
19,Wroclaw University of Science & Technology,Jagiellonian University,1,"271,6",52,11901816.01,Jagiellonian University,PL,Krakow,PL213,"50.0609779,19.9328423",77297,25822,15766,1,33549,6043,6706,12749,1,228881.0771,1.646227147,,,,,,,,,,
20,Wroclaw University of Science & Technology,Eötvös Loránd University,1,727,28,11078888.54,Eötvös Loránd University,HU,Budapest,HU110,"47.490360949999996,19.058302460603027",28687,10656,7417,0,28542,4956,5719,10675,0,395674.5907,1.532402035,,,,,,,,,,
21,Wroclaw University of Science & Technology,Kaunas University of Technology,16,"752,9",44,10065665.09,Kaunas University of Technology,LT,Kaunas,LT022,"54.89877845,23.9126328823828",13691,4436,2525,1,16400,3463,2092,5555,0,228765.1157,1.392255695,,,,,,,,,,
22,Wroclaw University of Science & Technology,Technical University of Ostrava,136,"251,2",26,9844313.6,Technical University of Ostrava,CZ,Ostrava Poruba,CZ080,"49.8336617,18.1636336",18131,8543,3774,1,23558,1799,3203,5002,0,378627.4462,1.361638953,,,,,,,,,,
23,Wroclaw University of Science & Technology,Polytechnic Zagreb,0,"897,2",31,9400475.63,Polytechnic Zagreb,HR,Zagreb,HR050,"45.8010282,15.9708835",132,48,1,1,4300,,,,N/A,303241.1494,1.30024848,,,,,,,,,,
24,Wroclaw University of Science & Technology,Comenius University Bratislava,1,"530,1",23,8495864.6,Comenius University Bratislava,SK,Bratislava,SK010,"48.1410559,17.1151675874717",34517,12980,7133,1,22817,5147,3815,8962,0,369385.4174,1.175125118,,,,,,,,,,
25,Wroclaw University of Science & Technology,Slovak University of Technology Bratislava,97,"528,8",37,8072537.81,Slovak University of Technology Bratislava,SK,Bratislava,SK010,"48.1548901,17.1178281260007",23792,7705,2929,1,14500,1942,1445,3387,0,218176.6976,1.116571696,,,,,,,,,,
26,Wroclaw University of Science & Technology,Vilnius University,1,"852,5",36,8047928.93,Vilnius University,LT,Vilnius,LT011,"54.682708,25.2866715",28583,9744,6204,1,23517,6940,4372,11312,1,223553.5814,1.113167862,,,,,,,,,,
27,Wroclaw University of Science & Technology,Gdańsk University of Technology,152,"490,1",20,7997194.85,Gdańsk University of Technology,PL,GDANSK,PL633,"54.3482259,18.6542888",22906,8024,5202,1,14816,2978,2314,5292,0,399859.7425,1.106150461,,,,,,,,,,
28,Wroclaw University of Science & Technology,"University of Chemistry & Technology, Prague",15,"293,8",25,7476542.92,"University of Chemistry & Technology, Prague",CZ,Praha,CZ010,"50.103351,14.3898299",19911,5675,3184,1,3606,632,1405,2037,0,299061.7168,1.034135287,,,,,,,,,,
29,Wroclaw University of Science & Technology,University of Maribor,8,786,32,6926672.29,University of Maribor,SI,Maribor,SI032,"46.55919145,15.6432871599097",20787,6941,6941,1,13988,2935,5453,8388,0,216458.5091,0.958078662,,,,,,,,,,
30,Wroclaw University of Science & Technology,Technical University of Cluj-Napoca,2,"931,6",27,6678885.07,Technical University of Cluj-Napoca,RO,Cluj Napoca,RO113,"46.7692926,23.5856779",14422,2589,6119,0,18649,1314,927,2241,0,247366.1137,0.923805401,,,,,,,,,,
31,Wroclaw University of Science & Technology,Vytautas Magnus University,9,"745,3",16,2243583.75,Vytautas Magnus University,LT,Kaunas,LT022,"54.899158,23.91506",7931,2999,1769,1,5950,3412,2027,5439,0,140223.9844,0.310326464,,,,,,,,,,
32,Wroclaw University of Science & Technology,Riga Technical University,0,"1009,3",30,6280618.51,Riga Technical University,LV,Riga,LV006,"56.9473335,24.1054291800387",10166,4538,2063,1,10745,2464,2579,5043,0,209353.9503,0.868718243,,,,,,,,,,
33,Wroclaw University of Science & Technology,Semmelweis University,0,"727,9",26,5575205.96,Semmelweis University,HU,Budapest,HU110,"47.4812616,19.0830671",40126,11036,7439,0,9860,1435,1569,3004,1,214430.9985,0.771147478,,,,,,,,,,
34,Wroclaw University of Science & Technology,Poznań University of Technology,183,"185,6",17,5388254.48,Poznań University of Technology,PL,POZNAN,PL415,"52.39333805,16.9190716369255",18975,7010,3878,1,37013,2921,1406,4327,0,316956.1459,0.745288853,,,,,,,,,,
35,Wroclaw University of Science & Technology,Adam Mickiewicz University,148,"182,5",30,4476852.14,Adam Mickiewicz University,PL,POZNAN,PL415,"52.40816565,16.9156127251945",33276,10413,6212,1,35901,5001,3278,8279,0,149228.4047,0.619226135,,,,,,,,,,
36,Wroclaw University of Science & Technology,Vilnius Gediminas Technical University,32,"859,9",21,1953341.4,Vilnius Gediminas Technical University,LT,Vilnius,LT011,"54.7216492,25.3375902203968",10284,4012,2011,1,8322,3520,2559,6079,0,93016.25714,0.270180923,,,,,,,,,,
37,Wroclaw University of Science & Technology,Silesian University of Technology,301,"172,6",14,4455062.99,Silesian University of Technology,PL,GLIWICE,PL22A,"50.2901018,18.6768134289743",26930,11012,6491,1,18396,1867,1401,3268,0,318218.785,0.616212318,,,,,,,,,,
38,Wroclaw University of Science & Technology,Szeged University,15,"892,1",22,4436448.26,Szeged University,HU,Szeged,HU333,"46.25008565,20.1465129427819",37535,9783,6029,0,22693,3388,3226,6614,0,201656.7391,0.613637579,,,,,,,,,,
40,Wroclaw University of Science & Technology,University of Debrecen,8,"713,9",36,3928536.47,University of Debrecen,HU,Debrecen,HU321,"47.55489855,21.6203548498905",33680,9532,5979,0,29045,2147,2205,4352,0,109126.0131,0.543384588,,,,,,,,,,
41,Wroclaw University of Science & Technology,University of Pecs,5,"908,1",11,3240164.06,University of Pecs,HU,Pecs,HU231,"46.07356355,18.2382739260927",22209,6433,4587,0,22000,2608,2049,4657,0,294560.3691,0.447882234,,,,,,,,,,
42,Wroclaw University of Science & Technology,University of Gdansk,81,"494,6",12,3671677.64,University of Gdansk,PL,GDANSK,PL633,"54.3998329,18.5680212",18595,6221,4017,1,28625,2057,1661,3718,0,305973.1367,0.507529604,,,,,,,,,,
43,Wroclaw University of Science & Technology,Warsaw University of Life Sciences,43,"358,1",17,3463222.01,Warsaw University of Life Sciences,PL,Warszawa,PL911,"52.1651683,21.0484023995429",16991,6697,4428,1,15736,1749,1896,3645,0,203718.9418,0.478715146,,,,,,,,,,
44,Wroclaw University of Science & Technology,University of Bucharest,7,"1552,4",27,3451021.61,University of Bucharest,RO,Bucuresti,RO321,"44.4361414,26.1027202",27889,9183,9183,0,34000,2123,1848,3971,0,127815.6152,0.477028705,,,,,,,,,,
45,Wroclaw University of Science & Technology,Medical University of Bialystok,18,544,1,3139200,Medical University of Bialystok,PL,Bialystok,PL841,"53.132437,23.1659857",11174,4271,2933,1,5494,323,77,400,0,3139200,0.433926148,,,,,,,,,,
46,Wroclaw University of Science & Technology,Babes Bolyai University from Cluj,0,"947,2",16,3429908.06,Babes Bolyai University from Cluj,RO,Cluj Napoca,RO113,"46.7693367,23.5900604",27843,10308,5644,0,48620,5149,3819,8968,N/A,214369.2538,0.474110216,,,,,,,,,,
47,Wroclaw University of Science & Technology,Nicolaus Copernicus University,217,"363,9",14,2737620.35,Nicolaus Copernicus University,PL,Torun,PL613,"53.0185,18.5708014",27894,9038,6324,1,24016,2379,2296,4675,0,195544.3107,0.378416492,,,,,,,,,,
48,Wroclaw University of Science & Technology,Lodz University of Technology,172,"222,5",13,2612464.44,Lodz University of Technology,PL,Lodz,PL711,"51.7687323,19.4569911",24168,7354,3874,1,12642,2657,2526,5183,0,200958.8031,0.361116409,,,,,,,,,,
49,Wroclaw University of Science & Technology,TECHNICAL UNIVERSITY OF SOFIA,0,"1493,2",16,3323848.36,Technical University Sofia,BG,Sofia,BG411,"42.6977211,23.3225964",6168,2331,1099,1,9202,1788,705,2493,N/A,207740.5225,0.459449769,,,,,,,,,,
50,Wroclaw University of Science & Technology,Poznan University of Medical Sciences,49,"181,9",7,2323038.57,Poznan University of Medical Sciences,PL,Poznan,PL415,"52.4094741,16.918422",19090,7260,5835,1,8000,528,425,953,0,331862.6529,0.321109575,,,,,,,,,,
51,Wroclaw University of Science & Technology,University of Zagreb,17,1489,57,13961302.95,University of Zagreb,HR,Zagreb,HR050,"45.7982002,15.9703608",3515,1311,883,1,72480,,,,N/A,244935.1395,1.929846586,,,,,,,,,,
52,Wroclaw University of Science & Technology,University of Warmia & Mazury,47,"504,7",11,2215533.75,University of Warmia & Mazury,PL,OLSZTYN,PL622,"53.7766839,20.476507",21426,7088,4680,1,38350,4241,5123,9364,0,201412.1591,0.306249371,,,,,,,,,,
53,Wroclaw University of Science & Technology,University of Lodz,73,"225,9",17,2169549.13,University of Łódź,PL,LODZ,PL711,"51.8575538,19.4145321",10129,4147,2720,1,25000,804,1038,1842,0,127620.5371,0.299892997,,,,,,,,,,
54,Wroclaw University of Science & Technology,Wroclaw University of Environmental & Life Sciences,793,"0,8",8,2037715.48,Wroclaw University of Environmental & Life Sciences,PL,Wroclaw,PL514,"51.111086,17.0637697",25895,11422,7570,1,8000,1230,627,1857,0,254714.435,0.281669861,,,,,,,,,,
55,Wroclaw University of Science & Technology,Medical University of Warsaw,50,"353,9",4,1912047.45,Medical University of Warsaw,PL,Warszawa,PL911,"52.2337172,21.0714156104111",11524,5678,3695,1,9764,1323,551,1874,0,478011.8625,0.264298988,,,,,,,,,,
56,Wroclaw University of Science & Technology,Iuliu Hatieganu University of Medicine & Pharmacy,3,"945,8",13,2973457.64,Iuliu Hatieganu University of Medicine & Pharmacy,RO,Cluj-Napoca,RO113,"46.7693367,23.5900604",11524,5678,3695,0,7153,1323,551,1874,0,228727.5108,0.41101587,,,,,,,,,,
57,Wroclaw University of Science & Technology,Transylvania University of Brasov,2,"1207,9",7,1577328.75,Transylvania University of Brasov,RO,Brasov,RO122,"45.6453253,25.5887936",10697,4420,3058,0,20885,2031,1623,3654,0,225332.6786,0.218031405,,,,,,,,,,
58,Wroclaw University of Science & Technology,Alexandru Ioan Cuza University,0,"1074,6",9,1177769.69,Alexandru Ioan Cuza University,RO,Iasi,RO213,"47.1748687,27.5712428965192",16618,3015,3015,0,40000,5150,1985,7135,0,130863.2989,0.162801053,,,,,,,,,,
59,Wroclaw University of Science & Technology,West University of Timisoara,0,"1031,2",9,1120190.63,West University of Timisoara,RO,Timisoara,RO424,"45.7476982,21.2283814",7740,3244,1698,0,13805,2344,1630,3974,0,124465.6256,0.154841999,,,,,,,,,,
60,Wroclaw University of Science & Technology,"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",0,"1048,5",2,1030937.5,"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",RO,Targu Mures,RO125,"46.5549736,24.581610724795418",5919,3143,1309,0,11000,3803,382,4185,0,515468.75,0.142504695,,,,,,,,,,
61,Wroclaw University of Science & Technology,University of Craiova,2,"1347,4",13,966062.58,University of Craiova,RO,Craiova,RO411,"44.3190159,23.7965614",8205,3246,1653,0,23000,1664,525,2189,0,74312.50615,0.133537148,,,,,,,,,,
62,Wroclaw University of Science & Technology,University of Split,8,"1290,1",17,3030046.45,University of Split,HR,Split,HR035,"43.507775,16.4690500081942",15904,6252,4056,1,26000,2093,1415,3508,N/A,178238.0265,0.418838042,,,,,,,,,,
63,Wroclaw University of Science & Technology,UNIVERSITY OF RIJEKA,2,"1027,2",12,1908024.95,University of Rijeka,HR,Rijeka,HR031,"45.28335145,14.537789935157118",14744,5403,3574,1,3000,1562,2058,3620,N/A,159002.0792,0.263742965,,,,,,,,,,
64,Wroclaw University of Science & Technology,Technical University Kosice,16,"521,6",13,2964780.5,Technical University Kosice,SK,Kosice,SK042,"48.7250478,20.4102986",13801,6791,2888,1,9999,1480,957,2437,0,228060.0385,0.409816444,,,,,,,,,,
65,Wroclaw University of Science & Technology,University of Pavol Jozef Safarik Kosice,2,"523,5",4,1838822.09,University of Pavol Jozef Safarik Kosice,SK,Kosice,SK042,"48.7200293,21.2573061",12454,4274,2361,1,7000,2183,1083,3266,0,459705.5225,0.254177174,,,,,,,,,,
1,University of Debrecen,UNIVERSITY OF CYPRUS,1739,"2593,3",123,58094901.65,UNIVERSITY OF CYPRUS,CY,Nicosia,CY000,"35.1739302,33.364726",16954,6697,4392,0,6875,1931,1902,3833,1,472316.2736,8.030357054,,,,,,,,,,
2,University of Debrecen,University of Tartu,63,"1653,4",135,52444253.64,University of Tartu,EE,Tartu,EE008,"58.3807628,26.7194208",34713,12022,7351,0,14000,2823,3227,6050,1,388475.9529,7.249277823,,,,,,,,,,
3,University of Debrecen,University of Ljubljana,128,"691,8",163,48273117.5,University of Ljubljana,SI,Ljubljana,SI041,"46.048973,14.5039794308021",70248,22010,14037,1,37615,10707,11649,22356,0,296154.0951,6.67270894,,,,,,,,,,
4,University of Debrecen,Masaryk University Brno,99,"559,2",89,42184054.1,Masaryk University Brno,CZ,Brno,CZ064,"49.1992954,16.5972215",44285,17393,10062,1,32271,8732,5926,14658,N/A,473978.136,5.831028314,,,,,,,,,,
5,University of Debrecen,Charles University Prague,1,"758,5",88,33702351.18,Charles University Prague,CZ,Praha 1,CZ010,"50.08647615,14.4246222336325",121755,40566,23309,1,49787,7433,8648,16081,N/A,382981.2634,4.658617294,,,,,,,,,,
6,University of Debrecen,Czech Technical University Prague,171,"764,9",81,32924004.68,Czech Technical University Prague,CZ,Praha,CZ010,"50.102175,14.3884697",36536,15092,6821,1,16217,2155,4021,6176,1,406469.1936,4.551027813,,,,,,,,,,
7,University of Debrecen,Tallinn University of Technology,7,"1711,1",69,30065589.57,Tallinn University of Technology,EE,Tallinn,EE001,"59.3948992,24.6717935",15190,6001,3388,1,8739,1920,2980,4900,0,435733.1822,4.155914072,,,,,,,,,,
8,University of Debrecen,University of Warsaw,1323,"737,8",96,28918622.74,University of Warsaw,PL,WARSZAWA,PL911,"52.23961125,21.0173473017396",62301,19132,11114,1,42700,9547,6464,16011,1,301235.6535,3.997370845,,,,,,,,,,
9,University of Debrecen,Brno University of Technology,12,561,60,27386453.32,Brno University of Technology,CZ,Brno Stred,CZ064,"49.1992954,16.5972215",24584,10565,4981,1,17975,4786,3799,8585,0,456440.8887,3.785581735,,,,,,,,,,
10,University of Debrecen,National University of Science & Technology POLITEHNICA Bucharest,17,"684,2",47,21262969.32,National University of Science & Technology POLITEHNICA Bucharest,RO,Bucharest,RO321,"44.4420231,26.0522546",38862,16158,5465,0,25469,1721,1644,3365,0,452403.6026,2.939143209,,,,,,,,,,
11,University of Debrecen,Central European University,4,"229,9",46,20575367.03,Central European University,HU,Budapest,HU110,"47.546344,18.9501556",5031,2653,515,0,1479,409,469,878,N/A,447290.5876,2.844097142,,,,,,,,,,
12,University of Debrecen,Budapest University of Technology & Economics,312,"232,6",62,19329058.92,Budapest University of Technology & Economics,HU,Budapest,HU110,"47.4813705,19.0556393",33370,9633,5349,0,20152,2801,3879,6680,0,311759.0148,2.671822143,,,,,,,,,,
13,University of Debrecen,Cyprus University of Technology,3,"2670,5",54,19267425.71,Cyprus University of Technology,CY,Lemesos,CY000,"34.79489125,32.985589384508",5349,1745,1745,0,3280,639,572,1211,0,356804.1798,2.663302692,,,,,,,,,,
14,University of Debrecen,Sofia University,1,"843,9",34,19079908.91,Sofia University,BG,Sofia,BG411,"42.6978634,23.3221789",35,24,6,1,22490,1321,718,2039,0,561173.7915,2.637382571,,,,,,,,,,
15,University of Debrecen,AGH University of Krakow,373,448,54,16553204.24,AGH University of Krakow,PL,Krakow,PL213,"50.0600082,19.924412",41427,16361,8756,1,20240,1950,2886,4836,0,306540.8193,2.288120586,,,,,,,,,,
16,University of Debrecen,University of Latvia,23,"1413,1",41,9299962.74,University of Latvia,LV,RIGA,LV006,"56.9493977,24.1051846",19782,7466,3496,1,15250,1824,3211,5035,0,226828.3595,1.285517649,,,,,,,,,,
17,University of Debrecen,Warsaw University of Technology,284,"735,6",52,13923689.97,Warsaw University of Technology,PL,WARSZAWA,PL911,"52.22165395,21.0073577612511",43300,15433,7129,1,25021,2216,2715,4931,0,267763.2687,1.924647409,,,,,,,,,,
18,University of Debrecen,Alexander Dubcek University Trencin,0,"401,2",2,12689962.5,Alexander Dubcek University Trencin,SK,Trencin,SK022,"48.8986312,18.0474701",1813,824,486,1,2999,525,323,848,N/A,6344981.25,1.75411141,,,,,,,,,,
19,University of Debrecen,Jagiellonian University,1,"448,4",52,11901816.01,Jagiellonian University,PL,Krakow,PL213,"50.0609779,19.9328423",77297,25822,15766,1,33549,6043,6706,12749,1,228881.0771,1.645167294,,,,,,,,,,
20,University of Debrecen,Eötvös Loránd University,1,"230,2",28,11078888.54,Eötvös Loránd University,HU,Budapest,HU110,"47.490360949999996,19.058302460603027",28687,10656,7417,0,28542,4956,5719,10675,0,395674.5907,1.531415463,,,,,,,,,,
21,University of Debrecen,Kaunas University of Technology,6,"1155,5",44,10065665.09,Kaunas University of Technology,LT,Kaunas,LT022,"54.89877845,23.9126328823828",13691,4436,2525,1,16400,3463,2092,5555,0,228765.1157,1.391359351,,,,,,,,,,
22,University of Debrecen,Technical University of Ostrava,0,555,26,9844313.6,Technical University of Ostrava,CZ,Ostrava Poruba,CZ080,"49.8336617,18.1636336",18131,8543,3774,1,23558,1799,3203,5002,0,378627.4462,1.36076232,,,,,,,,,,
23,University of Debrecen,Polytechnic Zagreb,0,"575,3",31,9400475.63,Polytechnic Zagreb,HR,Zagreb,HR050,"45.8010282,15.9708835",132,48,1,1,4300,,,,N/A,303241.1494,1.299411371,,,,,,,,,,
24,University of Debrecen,Comenius University Bratislava,1,"431,4",23,8495864.6,Comenius University Bratislava,SK,Bratislava,SK010,"48.1410559,17.1151675874717",34517,12980,7133,1,22817,5147,3815,8962,0,369385.4174,1.174368564,,,,,,,,,,
25,University of Debrecen,Slovak University of Technology Bratislava,11,"432,5",37,8072537.81,Slovak University of Technology Bratislava,SK,Bratislava,SK010,"48.1548901,17.1178281260007",23792,7705,2929,1,14500,1942,1445,3387,0,218176.6976,1.115852839,,,,,,,,,,
26,University of Debrecen,Vilnius University,1,1255,36,8047928.93,Vilnius University,LT,Vilnius,LT011,"54.682708,25.2866715",28583,9744,6204,1,23517,6940,4372,11312,1,223553.5814,1.112451196,,,,,,,,,,
27,University of Debrecen,Gdańsk University of Technology,2,"1042,8",20,7997194.85,Gdańsk University of Technology,PL,GDANSK,PL633,"54.3482259,18.6542888",22906,8024,5202,1,14816,2978,2314,5292,0,399859.7425,1.105438313,,,,,,,,,,
28,University of Debrecen,"University of Chemistry & Technology, Prague",8,"764,5",25,7476542.92,"University of Chemistry & Technology, Prague",CZ,Praha,CZ010,"50.103351,14.3898299",19911,5675,3184,1,3606,632,1405,2037,0,299061.7168,1.033469504,,,,,,,,,,
29,University of Debrecen,University of Maribor,28,572,32,6926672.29,University of Maribor,SI,Maribor,SI032,"46.55919145,15.6432871599097",20787,6941,6941,1,13988,2935,5453,8388,0,216458.5091,0.957461844,,,,,,,,,,
30,University of Debrecen,Technical University of Cluj-Napoca,43,"244,1",27,6678885.07,Technical University of Cluj-Napoca,RO,Cluj Napoca,RO113,"46.7692926,23.5856779",14422,2589,6119,0,18649,1314,927,2241,0,247366.1137,0.923210649,,,,,,,,,,
31,University of Debrecen,Vytautas Magnus University,9,"1147,9",16,2243583.75,Vytautas Magnus University,LT,Kaunas,LT022,"54.899158,23.91506",7931,2999,1769,1,5950,3412,2027,5439,0,140223.9844,0.310126673,,,,,,,,,,
32,University of Debrecen,Riga Technical University,737,"1411,9",30,6280618.51,Riga Technical University,LV,Riga,LV006,"56.9473335,24.1054291800387",10166,4538,2063,1,10745,2464,2579,5043,0,209353.9503,0.868158956,,,,,,,,,,
33,University of Debrecen,Semmelweis University,1805,"231,9",26,5575205.96,Semmelweis University,HU,Budapest,HU110,"47.4812616,19.0830671",40126,11036,7439,0,9860,1435,1569,3004,1,214430.9985,0.770651008,,,,,,,,,,
34,University of Debrecen,Poznań University of Technology,0,"928,9",17,5388254.48,Poznań University of Technology,PL,POZNAN,PL415,"52.39333805,16.9190716369255",18975,7010,3878,1,37013,2921,1406,4327,0,316956.1459,0.74480903,,,,,,,,,,
35,University of Debrecen,Adam Mickiewicz University,6,"897,8",30,4476852.14,Adam Mickiewicz University,PL,POZNAN,PL415,"52.40816565,16.9156127251945",33276,10413,6212,1,35901,5001,3278,8279,0,149228.4047,0.618827473,,,,,,,,,,
36,University of Debrecen,Vilnius Gediminas Technical University,2,"1262,5",21,1953341.4,Vilnius Gediminas Technical University,LT,Vilnius,LT011,"54.7216492,25.3375902203968",10284,4012,2011,1,8322,3520,2559,6079,0,93016.25714,0.270006979,,,,,,,,,,
37,University of Debrecen,Silesian University of Technology,5,"545,3",14,4455062.99,Silesian University of Technology,PL,GLIWICE,PL22A,"50.2901018,18.6768134289743",26930,11012,6491,1,18396,1867,1401,3268,0,318218.785,0.615815596,,,,,,,,,,
38,University of Debrecen,Szeged University,1364,"228,3",22,4436448.26,Szeged University,HU,Szeged,HU333,"46.25008565,20.1465129427819",37535,9783,6029,0,22693,3388,3226,6614,0,201656.7391,0.613242515,,,,,,,,,,
39,University of Debrecen,Wroclaw University of Science & Technology,8,"713,9",27,4394292.98,Wroclaw University of Science & Technology,PL,Wroclaw,PL514,"51.1075006,17.0618875",37822,12250,6458,1,27072,3026,2558,5584,0,162751.5919,0.607415464,,,,,,,,,,
41,University of Debrecen,University of Pecs,1092,"447,7",11,3240164.06,University of Pecs,HU,Pecs,HU231,"46.07356355,18.2382739260927",22209,6433,4587,0,22000,2608,2049,4657,0,294560.3691,0.447882234,,,,,,,,,,
42,University of Debrecen,University of Gdansk,18,"1032,2",12,3671677.64,University of Gdansk,PL,GDANSK,PL633,"54.3998329,18.5680212",18595,6221,4017,1,28625,2057,1661,3718,0,305973.1367,0.507047136,,,,,,,,,,
43,University of Debrecen,Warsaw University of Life Sciences,7,"716,9",17,3463222.01,Warsaw University of Life Sciences,PL,Warszawa,PL911,"52.1651683,21.0484023995429",16991,6697,4428,1,15736,1749,1896,3645,0,203718.9418,0.478260069,,,,,,,,,,
44,University of Debrecen,University of Bucharest,261,"687,7",27,3451021.61,University of Bucharest,RO,Bucuresti,RO321,"44.4361414,26.1027202",27889,9183,9183,0,34000,2123,1848,3971,0,127815.6152,0.476575232,,,,,,,,,,
45,University of Debrecen,Medical University of Bialystok,12,"928,2",1,3139200,Medical University of Bialystok,PL,Bialystok,PL841,"53.132437,23.1659857",11174,4271,2933,1,5494,323,77,400,0,3139200,0.433513648,,,,,,,,,,
46,University of Debrecen,Babes Bolyai University from Cluj,301,"245,6",16,3429908.06,Babes Bolyai University from Cluj,RO,Cluj Napoca,RO113,"46.7693367,23.5900604",27843,10308,5644,0,48620,5149,3819,8968,N/A,214369.2538,0.473659517,,,,,,,,,,
47,University of Debrecen,Nicolaus Copernicus University,20,"866,8",14,2737620.35,Nicolaus Copernicus University,PL,Torun,PL613,"53.0185,18.5708014",27894,9038,6324,1,24016,2379,2296,4675,0,195544.3107,0.378056762,,,,,,,,,,
48,University of Debrecen,Lodz University of Technology,21,"704,3",13,2612464.44,Lodz University of Technology,PL,Lodz,PL711,"51.7687323,19.4569911",24168,7354,3874,1,12642,2657,2526,5183,0,200958.8031,0.360773124,,,,,,,,,,
49,University of Debrecen,TECHNICAL UNIVERSITY OF SOFIA,0,"849,4",16,3323848.36,Technical University Sofia,BG,Sofia,BG411,"42.6977211,23.3225964",6168,2331,1099,1,9202,1788,705,2493,N/A,207740.5225,0.459013006,,,,,,,,,,
50,University of Debrecen,Poznan University of Medical Sciences,18,"882,5",7,2323038.57,Poznan University of Medical Sciences,PL,Poznan,PL415,"52.4094741,16.918422",19090,7260,5835,1,8000,528,425,953,0,331862.6529,0.320804321,,,,,,,,,,
51,University of Debrecen,University of Zagreb,262,"1177,8",57,13961302.95,University of Zagreb,HR,Zagreb,HR050,"45.7982002,15.9703608",3515,1311,883,1,72480,,,,N/A,244935.1395,1.928012034,,,,,,,,,,
52,University of Debrecen,University of Warmia & Mazury,21,"969,6",11,2215533.75,University of Warmia & Mazury,PL,OLSZTYN,PL622,"53.7766839,20.476507",21426,7088,4680,1,38350,4241,5123,9364,0,201412.1591,0.305958244,,,,,,,,,,
